mrkl_shop_id;shop_name;business_name;identification_number;first_names;last_names;email;address;address_ref;phone;phone_secondary;logo;branch;web_site;description;UNIDAD DE NEGOCIO;DIVISI�N;ruc;created_at;trade_name;state
2057;DIA-D juegos;MAR LUDICO S.A.C.;20600207025;Francis;Prentice;francisprentice@diadejuegos.com;AV. JUAN DE ARONA NRO. 340 LIMA - LIMA - SAN ISIDRO;AV. JUAN DE ARONA NRO. 340 LIMA - LIMA - SAN ISIDRO;998274465;2725154;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2057;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2057;www.diadejuegos.com;DIA-D juegos es la principal tienda especializada de juegos de mesa modernos en el Per�. Importamos productos de Asmodee, Devir, Haba, Mas que Oca, Maldito Games, Tranjis Games y otras grandes distribuidoras de juegos de mesa en idioma espa�ol. Traemos tambi�n rompecabezas de la marca alemana HEYE, accesorios, merchandising y pintura para modelismo.;BLANDOS;INFANTIL;20600207025;10/26/2018;DIA-D juegos;Abierta
2060;Grupo Cahema;GRUPO CAHEMA S.A.C.;20536973215;Moises;Heredia;mheredia@grupocahema.com;AV. ANGAMOS ESTE NRO. 2130 URB. REDUCTO (FRENTE A PLAZA VEA) LIMA - LIMA - SURQUILLO;AV. ANGAMOS ESTE NRO. 2130 URB. REDUCTO (FRENTE A PLAZA VEA) LIMA - LIMA - SURQUILLO;936585252;981356839;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2060;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2060;null;null;NUEVOS NEGOCIOS;MEJORAMIENTO DEL HOGAR;20536973215;10/30/2018;Grupo Cahema;Abierta
2066;Wilton;DECOPAN PERU S.A.C.;20551446990;Luis;Sanchez;lsanchez@decopanperu.com;JR. BARLOVENTO NRO. 318 URB. RESIDENCIAL HIGUERETA;JR. BARLOVENTO NRO. 318 URB. RESIDENCIAL HIGUERETA;942600902;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2066;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2066;null;Bienvenido a Wilton, el l�der en celebraciones y manualidades, donde incre�bles personas ofrecen productos innovadores que inspiran creatividad en todos, en cualquier lugar, todos los d�as. Hoy en d�a, Wilton ofrece la selecci�n mas completa e innovadora en productos para hornear, decorar pasteles, caramelos y elaboraci�n de galletas, productos para fiestas,temporadas y productos para la cocina. Son dise�ados para que cualquier persona disfrute de lo f�cil que es crear algo especial usando un estilo y dise�o �nico. Lo invitamos a que usted conozca mas sobre nuestra gran familia.;HOGAR;DECOHOGAR;20551446990;10/31/2018;Wilton;Abierta
2067;Micronet Peruana;Micronet Peruana SAC;20603147252;Diana;Miranda Calder�n;dmiranda@micronet.es;CAL.FRANCISCO DE PAULA UGARRIZA NRO. 775 URB. SAN ANTONIO;CAL.FRANCISCO DE PAULA UGARRIZA NRO. 775 URB. SAN ANTONIO;919030810;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2067;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2067;null;null;HOGAR;ELECTROHOGAR;20603147252;10/31/2018;Micronet Peruana;Abierta
2073;Whairo;WHAIRO.COM E.I.R.L.;20600115481;Magdalena;Ku Peralta;whairoempresa@gmail.com;AV. LOS CONQUISTADORES NRO. 1218 URB. SANTA CRUZ LIMA - LIMA - SAN ISIDRO;AV. LOS CONQUISTADORES NRO. 1218 URB. SANTA CRUZ LIMA - LIMA - SAN ISIDRO;982097829;982097829;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2073;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2073;null;null;BLANDOS;ACCESORIOS;20600115481;11/2/2018;Whairo;Abierta
2075;Monono;GRUPO GF S.A.C.;20556792829;Frankz;Kastner Cam;fkc@monono.pe;JR. RESTAURACION NRO. 527 URB. NOSIGLIA LIMA - LIMA - BRE�A;JR. RESTAURACION NRO. 527 URB. NOSIGLIA LIMA - LIMA - BRE�A;965391481;987754147;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2075;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2075;null;En Monono.pe encuentras los mejores productos de tus personajes favoritos! Somos la �nica tienda autorizada de Sanrio en el Per�. Por lo que podr�s encontrar productos de Hello Kitty, Cinnamoroll, Little Twin Stars, My Melody, Chococat, entre muchos m�s. As� como tambi�n productos de Nintendo, Game Boy, Breaking Bad, Super Mario y todos los personajes de tus series y pel�culas favoritas!;NUEVOS NEGOCIOS;OTRAS CATEGORIAS;20556792829;11/5/2018;Monono;Abierta
2081;ITS INVERSIONES S.A.C;ITS INVERSIONES S.A.C.;20601209668;KATTY;ISHIKI;katty.iy@itsinversiones.com.pe;CALLER RIO SANTA 204 PUEBLO LIBRE;CALLER RIO SANTA 204 PUEBLO LIBRE;987-774-264;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2081;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2081;null;ITS INVERSIONES SAC, empresa importadora, distribuidora y representantes oficiales en el pa�s de las siguientes marcas: Nutcase - Roller Derby - Scoot and Ride - Hornit - Shadez - Ahead - Apli - Protec - Sector 9. Hoy en d�a distribuimos a m�s de 40 tiendas comerciales, entre ellas: Monark Per� - Ecobike [Coolbox] - Oxford - BiciCentro - GB Bikes - Anza - R Place. Adem�s con presencia Online en: Ripley Per� - Falabella - Linio - Lumingo (Grupo el Comercio) - Juntoz.;BLANDOS;DEPORTES;20601209668;11/16/2018;ITS INVERSIONES S.A.C;Abierta
2082;RUDEM FITNESS;EGOW FITNESS EQUIPMENT S.A.C.;20601954941;Ocampo;Erick;erick.ocampo@rudemfitness.com;AV. PRINCIPAL NRO. 465 DPTO. 406 URB. LA CALERA LIMA - LIMA - SURQUILLO;AV. PRINCIPAL NRO. 465 DPTO. 406 URB. LA CALERA LIMA - LIMA - SURQUILLO;950200278;925665807;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2082;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2082;null;null;BLANDOS;DEPORTES;20601954941;11/20/2018;RUDEM FITNESS;Abierta
2086;Singer;CORPESSA PERU S.A.C.;20547602723;Betty;Carbajal;betty.carbajal@corpessa.com.pe;PRO.HUANUCO NRO. 1981 INT. A URB. EL PORVENIR LIMA - LIMA - LA VICTORIA;PRO.HUANUCO NRO. 1981 INT. A URB. EL PORVENIR LIMA - LIMA - LA VICTORIA;934120094;991458932;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2086;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2086;null;Desde hace 164 a�os motivando la creatividad, experiencias creando a historias con nuestras modernas e innovadoras m�quinas de coser Singer;HOGAR;ELECTROHOGAR;20547602723;11/27/2018;Singer;Abierta
2087;PEAK SPORT;GLOBAL SPORT TECHNOLOGY S.A.C;20555125748;MARISOL;MARTINEZ;ventas@peakperu.com;JR. DE LA UNION NRO. 870 INT. 112 (A 1 CUADRA DE PLAZA SAN MARTIN) LIMA - LIMA - LIMA;JR. DE LA UNION NRO. 870 INT. 112 (A 1 CUADRA DE PLAZA SAN MARTIN) LIMA - LIMA - LIMA;993916358;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2087;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2087;null;PEAK es una marca internacional dedicada a la fabricacion de Zapatillas y accesorios de Basketball, futbol y running tanto para ni�os, ni�as, damas y varones, nuestra marca cuenta con mas de 150 modelos desde la talla 28 (EUR) hasta la talla 50 (EUR), grandes jugadores como Tony Parker, Dwight Howard, Lou Willians, entre otros jugadores visten la marca PEAK convirtiendose en una las marcas mas importantes de la NBA.;BLANDOS;DEPORTES;20555125748;12/6/2018;PEAK SPORT;Abierta
2088;ANGLER;ANGLER S.A.C.;20523717597;DEIVIS;LOPEZ;administracion@angler.com.pe;AV DOMINGO ORUE NRO 712 (FRENTE A LA VOLKSWAGEN) LIMA - LIMA -SURQUILLO;AV DOMINGO ORUE NRO 712 (FRENTE A LA VOLKSWAGEN) LIMA - LIMA -SURQUILL;954790895;982245934;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2088;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2088;null;"En Angler podr�s encontrar todo lo que necesitas para realizar el deporte de la pesca deportiva, ya sea en agua dulce o salada; embarcado o desde la costa. Asi mismo, todos los equipos necesarios para tus aventuras de trekking y camping,";BLANDOS;ACCESORIOS;20523717597;12/10/2018;ANGLER;Abierta
2090;Sesderma;SESDERMA PERU S.A.C.;20566528500;Cabrera;Cabrera;y.cabrera@sesderma.com;AV. LA ENCALADA NRO. 1420 INT. 504 URB. LIMA POLO HUNT LIMA - LIMA - SANTIAGO DE SURCO;AV. LA ENCALADA NRO. 1420 INT. 504 URB. LIMA POLO HUNT LIMA - LIMA - SANTIAGO DE SURCO;958799898;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2090;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2090;null;Sesderma es un laboratorio dermatol�gico espa�ol fundado en 1989 por el Dr. Gabriel Serrano, dermat�logo reconocido en todo el mundo. Somos el laboratorio pionero en el uso de nanotecnolog�a en dermocosm�tica. Gracias a nuestros avances en nanotecnolog�a conseguimos niveles de penetraci�n de los principios activos nunca antes alcanzados, y maximizar as� la efectividad de nuestras f�rmulas. Y eso es lo que nos hace diferentes: �la efectividad de nuestros productos!;BLANDOS;BELLEZA;20566528500;12/10/2018;Sesderma;Abierta
2096;Weleda;GRUN COMERCIAL S.A.C.;20552136153;Emperatriz;Caja;emperatrizcaja@weleda.com.pe;AV. DEL EJERCITO NRO. 1167 INT. 102 URB. SANTA CRUZ LIMA - LIMA - MIRAFLORES;AV. DEL EJERCITO NRO. 1167 INT. 102 URB. SANTA CRUZ LIMA - LIMA - MIRAFLORES;993635093;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2096;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2096;null;Somos una marca suizo alemana, pionera y fabricante l�der mundial de cosm�tica natural y org�nica. Desde 1921, creamos productos farmac�uticos y cosm�ticos naturales a base de frutos y plantas ancestrales, de los cuales m�s del 80 % proceden de cultivos biodin�micos, org�nicos certificados o de la recolecci�n silvestre controlada. Nuestras formulaciones impulsan y fortalecen la capacidad del cuerpo para restablecer su equilibrio natural porque creemos que la belleza verdadera nace desde el interior.;BLANDOS;BELLEZA;20552136153;12/17/2018;Weleda;Abierta
2097;Citycoco;CITYCOCO PERU SOCIEDAD ANONIMA CERRADA;20603801815;Elias;Quevedo;cristians.reategui@citycoco.com.pe;-LOMA UMBROSA NRO. 472 DPTO. 401 URB. PROL BENAVIDES LIMA - LIMA - SANTIAGO DE SURCO;-LOMA UMBROSA NRO. 472 DPTO. 401 URB. PROL BENAVIDES LIMA - LIMA - SANTIAGO DE SURCO;988467260;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2097;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2097;null;null;NUEVOS NEGOCIOS;OTRAS CATEGORIAS;20603801815;12/18/2018;Citycoco;Abierta
2099;MEGARACK;INDUSTRIAS METALICAS MEGARACK S.A.C;20502170512;Jose;Cossio;contacto@megarack.pe;JR. EL HELIO NRO. 5719 URB. INDUSTRIAL INFANTAS (ALT CDRA 57 AV ALFREDO MENDIOLA) LIMA - LIMA - LOS OLIVOS;JR. EL HELIO NRO. 5719 URB. INDUSTRIAL INFANTAS (ALT CDRA 57 AV ALFREDO MENDIOLA) LIMA - LIMA - LOS OLIVOS;998104399;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2099;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2099;null;Los muebles Mobius utilizan paneles semi-huecos Tamburato de 50mm. de espesor. De origen italiano, estos constan de 2 capas de MDF pegadas y prensadas sobre una estructura interna, desarrollada para dar el soporte ideal a cada pieza. As�, el Tamburato es ideal para la fabricaci�n de muebles robustos, con buen grosor, ligeros, de excelente dise�o y amigables con el ecosistema. Adem�s, todos los bordes del panel de Tamburato son revestidos con capas de PVC que permite mayor resistencia a impactos y humedad, aumentando la durabilidad del mueble.;HOGAR;DECOHOGAR;20502170512;12/26/2018;MEGARACK;Abierta
2102;HOGARYSPACIOS;CONTIHOGAR S.A.C.;20602438385;Sandra;Urbina;sandra.urbina@hogaryspacios.com.pe;CAL.LAS GAVIOTAS MZA. Z-1 LOTE. 19 URB. SANTA LEONOR LIMA - LIMA - CHORRILLOS;CAL.LAS GAVIOTAS MZA. Z-1 LOTE. 19 URB. SANTA LEONOR LIMA - LIMA - CHORRILLOS;933716223;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2102;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2102;null;Hogaryspacios.com es la tienda online de muebles m�s importante de Per� y latinoamerica, en donde encontrar�s de todo para que puedas amoblar tu hogar desde la comodidad de tu hogar a tan solo un click, encontrar�s desde un cuadro decorativo hasta un juego de dormitorio, en nuestro tienda online experimentar�s la manera m�s f�cil y segura de hacer tus compras, te olvidar�s de las largas colas en tienda, la falta de estacionamiento, el horario limitado de comprar y la indisponibilidad de productos en tienda. En nuestra tienda online te daremos la mejor experiencia de compra nunca antes vivida, soportada por la mejor tecnolog�a innovadora del mercado llevando tu modo ver las compras a otro nivel. Nuestra tienda online cuenta con todas las categor�as del hogar entre las cuales encontraras muebles de dormitorio, muebles de sala, muebles de comedor, parrillas y terrazas, muebles de cocina, decorativos y mucho m�s;HOGAR;DECOHOGAR;20602438385;1/9/2019;HOGARYSPACIOS;Abierta
2103;PROSHOPPER PERU;PROSHOPPER PERU S.A.C.;20602008755;Yomtov;Levy Spack;jbenarroyo@proshopper.pe;AV. IQUITOS NRO. 1260 (PISO 2) LIMA - LIMA - LA VICTORIA;AV. IQUITOS NRO. 1260 (PISO 2) LIMA - LIMA - LA VICTORIA;955011888;999709255;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2103;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2103;null;PROSHOPPER PERU S.A.C. es una empresa l�der en proveedur�a de productos importados, principalmente sillas para oficinas y maletas de viajes. Contamos con amplio stock de productos de muy buena calidad, a precios muy competitivos. El �xito de nuestra empresa se basa en nuestros dos grandes pilares: Nuestra Visi�n: Ser identificados como la organizaci�n modelo y l�der en la venta sillas de oficina y maletas de viaje. Nuestra Misi�n: Brindar a nuestros clientes la mejor experiencia de compra en la adquisici�n de los productos que comercializamos y que les permita sentir seguridad, calidad, garant�a y econom�a en su compra.;HOGAR;DECOHOGAR;20602008755;1/9/2019;PROSHOPPER PERU;Abierta
2104;Invertronics;IMPULSO INFORMATICO S.A.;20422561537;Fiorella;Caceda;fcaceda@impulso-com.pe;AV. AREQUIPA NRO. 2923 (FRENTE A ESSALUD) LIMA - LIMA - SAN ISIDRO;AV. AREQUIPA NRO. 2923 (FRENTE A ESSALUD) LIMA - LIMA - SAN ISIDRO;934007773;993485123;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2104;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2104;null;Empresa Innovadora dedicada a la venta de productos tecnol�gicos de la mejor calidad.;HOGAR;ELECTROHOGAR;20422561537;1/9/2019;Invertronics;Abierta
2105;TELESIN;IMPORTACIONES ACTION SPORTS E.I.R.L.;20601865441;Miguel;Ezcurra Neyra;rsilva@telesinperu.com;CAL.INDEPENDENCIA NRO. 208 OF. 301 LIMA - LIMA - MIRAFLORES;CAL.INDEPENDENCIA NRO. 208 OF.. 301 LIMA - LIMA - MIRAFLORES;949856562;920236006;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2105;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2105;null;Con presencia en m�s de 21 pa�ses, Telesin se especializa en la distribuci�n de accesorios para GoPro y c�maras de acci�n. Brindamos la mejor experiencia de fotograf�a moderna y de aventura con productos especiales para viajes, deportes extremos y uso cotidiano.;HOGAR;ELECTROHOGAR;20601865441;1/9/2019;TELESIN;Abierta
2107;MMA STORE PERU;BULL DISTRIBUTION PERU S.A.C.;20601928281;DAVID;CHAVEZ;info@mmastore.pe;AV. BENAVIDES NRO. 4838 DPTO. 201 URB. BENAVIDES (CRUCE DE VELASCO ASTETE CON BENAVIDES) LIMA - LIMA - SANTIAGO DE SURCO;AV. BENAVIDES NRO. 4838 DPTO. 201 URB. BENAVIDES (CRUCE DE VELASCO ASTETE CON BENAVIDES) LIMA - LIMA - SANTIAGO DE SURCO;948359694;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2107;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2107;null;Tienda especializada en Muay Thai, Boxeo, Jiujitsu, MMA y deportes de combate. Desde el 2010 distribuimos las mejores marcas del mundo: Fairtex, Twins Special, Yokkao, Top King, Affliction, Pride, Makoto, Hyperfly, Damage Control, OPRO. Todos nuestros productos son de alta gama: Guantes de boxeo, canilleras de muay thai, protectores bucales, ropa de entrenamiento, y todo lo que necesitas para entrenar.;BLANDOS;DEPORTES;20601928281;1/9/2019;MMA STORE PERU;Abierta
2110;SCOSCHE;REMAR SOLUCIONES S.A.C;20504348009;Patricia;Carrasco;p.carrasco@scoscheperu.com;JR. TOMAS GUIDO NRO. 620 (ESPALDA COLEGIO MELINTON CARBAJAL) LIMA - LIMA - LINCE;JR. TOMAS GUIDO NRO. 620 (ESPALDA COLEGIO MELINTON CARBAJAL) LIMA - LIMA - LINCE;964886702;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2110;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2110;null;null;HOGAR;ELECTROHOGAR;20504348009;1/16/2019;SCOSCHE;Abierta
2111;MN Electronics;MN ELECTRONICS E.I.R.L.;20478072121;Veronica;Ramirez;veronica.ramirez@tiendamn.com;CAL.MANUEL ARRISUE�O NRO. 649 URB. SANTA CATALINA LIMA - LIMA - LA VICTORIA;CAL.MANUEL ARRISUE�O NRO. 649 URB. SANTA CATALINA LIMA - LIMA - LA VICTORIA;994826679;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2111;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2111;null;MN Electronics Tienda con m�s de 10 a�os en el rubro de Tecnolog�a. Tenemos como misi�n traer la mejor tecnolog�a al Per� al alcance de todos. Nuestra Preocupaci�n es que todos los clientes queden conformes con sus productos.;HOGAR;ELECTROHOGAR;20478072121;1/16/2019;MN Electronics;Abierta
2112;SPORT FITNESS;CORPORACION SALUCE S.A.C.;20603023316;Lucy;Rivera;corp.saluce@gmail.com;CAL.CINCO MZA. G LOTE. 7 (ESPALDA CUADRA 5 AVENIDA HUAROCHIRI) LIMA - LIMA - ATE;CAL.CINCO MZA. G LOTE. 7 (ESPALDA CUADRA 5 AVENIDA HUAROCHIRI) LIMA - LIMA - ATE;959037559;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2112;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2112;null;Somos una empresa fabricante e importadora de art�culos deportivos, llevamos a la familia peruana bienestar y salud con productos de la m�s alta calidad. Ofrecemos una gran gama de m�quinas y accesorios deportivos para el hogar, as� como equipamiento especializado para los gimnasios que se encuentren en Lima o en provincia. Asimismo tenemos los mejores suplementos y prote�nas nacionales e importadas a los mejores precios, todas las novedades en salud y belleza, una extensa l�nea de ropa deportiva de la mejor calidad, as� como accesorios que complementar�n tu entrenamiento.;BLANDOS;DEPORTES;20603023316;1/16/2019;SPORT FITNESS;Abierta
